proposed_sku,official_name,proposed_name,brand,manufacturer,category,category_reason,volume,package,taste,carbonation,sugar,alcohol_percent,source_url,image_url,local_image_path,duplicate_status,confidence,notes,decision_reason,evidence_summary,image_match
BAVARIA-DOBRETSOV-KEG-30000-KEG,Квас «Добрецовъ»,"Квас Добрецовъ, кег 30 л",Добрецовъ,ГК ПД «Бавария»,Квас,,30 л,кег,Добрецовъ,,,,https://www.bavaria-group.ru/beer-product/kvas-dobrecov,,,new,medium,,Кеги только в wholesale-packaging-review; не в retail import,pdf-brief kegs 30/50,none
BAVARIA-DOBRETSOV-KEG-50000-KEG,Квас «Добрецовъ»,"Квас Добрецовъ, кег 50 л",Добрецовъ,ГК ПД «Бавария»,Квас,,50 л,кег,Добрецовъ,,,,https://www.bavaria-group.ru/beer-product/kvas-dobrecov,,,new,medium,,Кеги только в wholesale-packaging-review; не в retail import,pdf-brief kegs 30/50,none
