sku,status,source_url,image_source,note,source_width,source_height,source_mime,source_sha256,processed_path,processed_sha256
IRIB-ICE-BAR-YAGODNYY-500-PET,exact,https://irib.su/wp-content/uploads/2020/04/holodnyi-chai-lesnye-yagody-500-PhotoRoom-1.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,294,1080,image/png,6bc265984c1b83524f82b991302a370d59ead1b409594989e038622a103cfe84,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-ICE-BAR-YAGODNYY-500-PET.webp,0134efd48cabf9a25fce987ebdc671b4a7241f9cb367ef88ed2a6b6a3cf54e55
IRIB-KVAS-YANTARNYY-1250-PET,exact_low_res,https://irib.su/wp-content/uploads/2020/04/kvas-yantarnyi-125-PhotoRoom-2.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,105,366,image/png,6d56be88321fd66f0505d72fc459a721f85b8f369d07ae09f04f73374155aa1f,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-KVAS-YANTARNYY-1250-PET.webp,0d7c1ea63ff102e6b211266d2cfccf182177e93f520d012a3fa98639f3a59068
IRIB-KVAS-YANTARNYY-1500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-KVAS-YANTARNYY-500-PET,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-LIMONAD-PET-APELSIN-UNKNOWN-PET,exact_low_res,https://irib.su/wp-content/uploads/2023/09/orange-limonad-prev-1.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,106,380,image/png,cbc275e1fee1bd1425a9aaec8397669d0ab59fd9c9ed2d697df2a9d94fb696d6,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-LIMONAD-PET-APELSIN-UNKNOWN-PET.webp,2d408a4d434c5508629c90aa62a087d977c845af41ef47165585995be63dc690
IRIB-LIMONAD-PET-COLA-UNKNOWN-PET,exact_low_res,https://irib.su/wp-content/uploads/2023/09/cola-limonad-prev-1.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,108,380,image/png,0b654f715638c92b1d09dd47b91d6ab4d2d20d4840ffc5e2af6e739f34e00f10,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-LIMONAD-PET-COLA-UNKNOWN-PET.webp,15e1cafe2d3d7ef1ed78b0b82da13ee3fef463e211a27ec1ec1efb8bfbffa016
IRIB-LIMONAD-PET-GRUSHA-UNKNOWN-PET,exact_low_res,https://irib.su/wp-content/uploads/2023/09/grusha-limonad-prev-1.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,104,380,image/png,97aa74e453dc407dc08dd8d29660160f982445792cdeca5df051e48a90ed3c2e,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-LIMONAD-PET-GRUSHA-UNKNOWN-PET.webp,b95edaccca9b4c24e6a4d6a8ab556449af76eaa035b8d369e655b4485ccfab4d
IRIB-LIMONAD-PET-MANGO-UNKNOWN-PET,exact_low_res,https://irib.su/wp-content/uploads/2023/09/mango-limonad-prev-1-1.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,108,380,image/png,4b6fc867f97d85506d9d0ac0c54e9bfa774b5dd4802e728b996f12ad61503ab8,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-LIMONAD-PET-MANGO-UNKNOWN-PET.webp,7b3858d0ceb66f7c18825bece17df6f96851e212a817e622a54e4ff3c677953f
IRIB-LIMONAD-PET-MOHITO-UNKNOWN-PET,exact_low_res,https://irib.su/wp-content/uploads/2023/09/mohto-limonad-prev-1.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,108,380,image/png,9482444187ee745d5281c3823bc044c1b330e0136f278ab8f5de51f9f83a92aa,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-LIMONAD-PET-MOHITO-UNKNOWN-PET.webp,ed9ab1d663f66144313dab6ea8bbcdca573c33b89201d4922ed2fa27c64c25be
IRIB-MINDARI-ANANASOM-UNKNOWN-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2023/09/ananas-limonad.webp,stage1_featured_or_assigned,no source upscale; catalog canvas only,123,380,image/webp,2f66737dddc58a14f94f57c217672cc5e1df5412307c3498215f1e7ae419873e,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-MINDARI-ANANASOM-UNKNOWN-GLASS.webp,3ef8d97d866facda96aabad4ea458961c96688854f76f333885565b5c6cd03ed
