proposed_sku,official_name,proposed_name,brand,manufacturer,line,flavor,flavor_key,volume_ml,volume_text,package_type,package_code,carbonation,category,category_slug,category_id,category_status,source_url,source_image_url,image_path,image_match_status,image_source,image_width,image_height,image_mime,source_image_sha256,processed_sha256,duplicate_status,match_reason,existing_product_id,existing_sku,existing_name,final_decision,final_status,final_reason,review_status,review_reason,confidence,notes,wp_slug,sales_status,price_amount,orderable,availability,units_per_package
IRIB-NEKTAR-ABRIKOSOVYY-500-GLASS,Абрикосовый нектар,"Нектар Ириб Абрикосовый, 500 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Абрикосовый,ABRIKOSOVYY,500,500 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/abrikosovyj-sok/,https://irib.su/wp-content/uploads/2020/03/abriosovyj-05-PhotoRoom-1-3.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-ABRIKOSOVYY-500-GLASS.webp,exact,wp_attachment_volume_filename,376,1080,image/png,902ef1902564fdf3d3d7f80170bed0b45a4c6670fd0e2563c0e7820840e11c77,28f9f01f867a9d6c8d5a8baa4aa1bc9a7ffa6430d7d342c359cd0c52bfc6e937,probable_match,same_flavor_package_diff_volume,4a48893a-5c54-4b40-8409-7fafd5878bd6,ZY-IRIB-750-GLASS-002,"Нектар Ириб ст/б 0,75л Абрикосовый",new_product,approved,different_volume_or_package_from_production_confirmed,approved,different_volume_or_package_from_production_confirmed,high,multi_volume_image_unassigned; image_from_attachment_filename,abrikosovyj-sok,showcase,,false,on_order,1
IRIB-NEKTAR-MANGOVYY-500-GLASS,Манговый нектар,"Нектар Ириб Манговый, 500 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Манговый,MANGOVYY,500,500 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/irib-mango/,https://irib.su/wp-content/uploads/2022/08/mango-nektar-05-PhotoRoom-1-2.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-MANGOVYY-500-GLASS.webp,exact,wp_attachment_volume_filename,382,1080,image/png,5ca8a75f5892a27ab25ddc318c59d30d107990f72f27d30987bb439267058465,b84f520dab436c66776c4229b4bca36b59ff641ca9cbb099bb8075f9d75885f8,new_product,no_production_overlap,,,,new_product,approved,,approved,,high,multi_volume_image_unassigned; image_from_attachment_filename,irib-mango,showcase,,false,on_order,1
IRIB-NEKTAR-PERSIKOVYY-500-GLASS,Персиковый нектар,"Нектар Ириб Персиковый, 500 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Персиковый,PERSIKOVYY,500,500 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/persikovyj-nektar/,https://irib.su/wp-content/uploads/2020/04/persikovyj-05-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-PERSIKOVYY-500-GLASS.webp,exact,wp_attachment_volume_filename,381,1080,image/png,0f99922b819ce6c15a5685d07441b4845cce948fbef9433861f81474609d5b84,df885bc111342f284aa15a1285d1db681638b29de87ce3959b4afe6aef9fbac4,probable_match,same_flavor_package_diff_volume,ecfa94b7-fca3-48ac-89cd-393f2419347d,ZY-IRIB-750-GLASS-006,"Нектар Ириб ст/б 0,75л Персиковый 50%",new_product,approved,different_volume_or_package_from_production_confirmed,approved,different_volume_or_package_from_production_confirmed,high,multi_volume_image_unassigned; image_from_attachment_filename,persikovyj-nektar,showcase,,false,on_order,1
IRIB-NEKTAR-VISHNEVYY-500-GLASS,Вишневый нектар,"Нектар Ириб Вишневый, 500 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Вишневый,VISHNEVYY,500,500 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/vishnevyj-nektar/,https://irib.su/wp-content/uploads/2020/04/vishnevyj-05-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-VISHNEVYY-500-GLASS.webp,exact,wp_attachment_volume_filename,383,1080,image/png,b5fe33e8fc62dd5d3e04f375eea7e56cf7b36e5d592a1508b0de93347fb1878a,d44df54742b3cfe1490a7f4beca4c251ef55918eca201a20e0b70f41c5344abb,probable_match,same_flavor_package_diff_volume,96f0130c-9d09-41a8-a24f-7476397ece27,ZY-IRIB-750-GLASS-004,"Нектар Ириб ст/б 0,75л Вишневый 50%",new_product,approved,different_volume_or_package_from_production_confirmed,approved,different_volume_or_package_from_production_confirmed,high,multi_volume_image_unassigned; image_from_attachment_filename,vishnevyj-nektar,showcase,,false,on_order,1
IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-3000-PET,Яблочно-абрикосовый нектар 3л,"Нектар Ириб Яблочно-абрикосовый, 3 л, ПЭТ",Ириб,ООО «ИРИБ»,NEKTAR,Яблочно-абрикосовый,YABLOCHNO-ABRIKOSOVYY,3000,3 л,ПЭТ,PET,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/yablochno-abrikosovyj-nektar-3l/,https://irib.su/wp-content/uploads/2021/04/yabl-abrik-nektar3l-1080.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-3000-PET.webp,exact,wp_attachment_volume_filename,654,1080,image/png,2fecc4f61ea30a4edf3c20265687158623c66d994b13bacd416ceb72fc60f0d3,c15d48ca3484da97d9a66a9dcd5e5b78476a0ab07cf94cf29bf8c7abacf23d34,new_product,no_production_overlap,,,,new_product,approved,,approved,,high,image_from_attachment_filename,yablochno-abrikosovyj-nektar-3l,showcase,,false,on_order,1
IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-500-GLASS,Яблочно-абрикосовый нектар,"Нектар Ириб Яблочно-абрикосовый, 500 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Яблочно-абрикосовый,YABLOCHNO-ABRIKOSOVYY,500,500 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/yablochno-abrikosovyj-nektar/,https://irib.su/wp-content/uploads/2020/04/yablochnyj-abrikosovyj-05-PhotoRoom-1-b.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-500-GLASS.webp,exact,wp_attachment_volume_filename,400,1141,image/png,da04fd99d80ad332104981bd62c586db02f38e8c7c6520d2e8f21485cc2fee61,edc2663bf37ca0a289c5ab01a542b65e28c55d7b40edbb40da0cf1e164294ab4,new_product,no_production_overlap,,,,new_product,approved,,approved,,high,multi_volume_image_unassigned; image_from_attachment_filename,yablochno-abrikosovyj-nektar,showcase,,false,on_order,1
IRIB-NEKTAR-YABLOCHNYY-3000-PET,Яблочный нектар 3л,"Нектар Ириб Яблочный, 3 л, ПЭТ",Ириб,ООО «ИРИБ»,NEKTAR,Яблочный,YABLOCHNYY,3000,3 л,ПЭТ,PET,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/yablochnyj-nektar-3l/,https://irib.su/wp-content/uploads/2021/04/yabl-nektar3l-1080.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-YABLOCHNYY-3000-PET.webp,exact,wp_attachment_volume_filename,654,1080,image/png,6cc50ced84fb9893d73a1df554fd5a1aa28e081c402a3cc2a0ab118eccf344be,fabffda5d627516b3547fa42a5b7ab336f16db452815d3c243bac43dd61c1925,new_product,no_production_overlap,,,,new_product,approved,,approved,,high,image_from_attachment_filename,yablochnyj-nektar-3l,showcase,,false,on_order,1
IRIB-NEKTAR-YABLOCHNYY-500-GLASS,Яблочный нектар,"Нектар Ириб Яблочный, 500 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Яблочный,YABLOCHNYY,500,500 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/yablochnyj-nektar/,https://irib.su/wp-content/uploads/2021/04/yablochnyj-nektar-05-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-YABLOCHNYY-500-GLASS.webp,exact,wp_attachment_volume_filename,382,1080,image/png,b513cc4fc7c8c4c810f800d8d76693cb947c3ffc3dd04ddb29b98c06bbc7192a,47828dc48df94349a1900af03e01060630b72ff0433442680e90c76acb7f9bd9,new_product,no_production_overlap,,,,new_product,approved,,approved,,high,multi_volume_image_unassigned; image_from_attachment_filename,yablochnyj-nektar,showcase,,false,on_order,1
IRIB-NEKTAR-YABLOCHNYY-750-GLASS,Яблочный нектар,"Нектар Ириб Яблочный, 750 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Яблочный,YABLOCHNYY,750,750 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/yablochnyj-nektar/,https://irib.su/wp-content/uploads/2021/04/yablochnyi-nektar-075-PhotoRoom-1.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-YABLOCHNYY-750-GLASS.webp,exact_low_res,wp_attachment_volume_filename,127,366,image/png,2389346f50c52f11ddd4b6b2840e2cb35705eb2c44e32d8eb70cf98dc8607157,0ac7e4e11949411499d81519bc3831745943cdc9aa45f0de282f9f83bff883ed,probable_match,type_mismatch_nektar_vs_sok,f3f8ea32-6f95-4fac-9ccc-6c6a8a4dab4d,ZY-IRIB-750-GLASS-005,"Сок Ириб ст/б 0,75л Яблочный 100%",new_product,approved,type_differs_from_production_sibling_confirmed_new,approved,type_differs_from_production_sibling_confirmed_new,medium,image_from_attachment_filename,yablochnyj-nektar,showcase,,false,on_order,1
IRIB-PROFI-SPORT-ENERGY-GUARANA-500-PET,PROFI SPORT ENERGY,"PROFI SPORT Energy Гуарана, 500 мл, ПЭТ",PROFI SPORT,ООО «ИРИБ»,PROFI-SPORT,Energy Гуарана,ENERGY-GUARANA,500,500 мл,ПЭТ,PET,негазированный,Энергетические напитки,energeticheskie-napitki,a3f3ce9e-00db-4cb4-961d-54e48343b03d,mapped,https://irib.su/product/energy/,https://irib.su/wp-content/uploads/2021/01/profi-enerdzhi-PhotoRoom-2.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-PROFI-SPORT-ENERGY-GUARANA-500-PET.webp,exact_low_res,stage1_featured_or_assigned,94,366,image/png,f9e13c414b1c8610a514c98144927ac9ce11851e83389a5eda5ee528b4a00884,cabf6518b14cd497029ccaabaa30cafcf8f9455b1a1cfbafdb2dd4ffd7fc02c7,new_product,no_production_overlap,,,,new_product,approved,,approved,,medium,,energy,showcase,,false,on_order,1
IRIB-RODNICHOK-NEGAZIROVANNAYA-330-PET,Родничок,"Родничок Негазированная, 330 мл, ПЭТ",Родничок,ООО «ИРИБ»,RODNICHOK,Негазированная,NEGAZIROVANNAYA,330,330 мл,ПЭТ,PET,негазированная,Питьевая вода,voda-pitevaya,58b17c1b-ce93-47d6-9e9d-df407b076889,mapped,https://irib.su/product/rodnichok/,https://irib.su/wp-content/uploads/2020/04/image-31.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-RODNICHOK-NEGAZIROVANNAYA-330-PET.webp,exact_low_res,stage1_featured_or_assigned,94,311,image/png,6d3de1750b21588f029743b4ec18528083421875b052585f81258a64679405ae,ec40a924ba8e87076bac0c2d48338766b947a848198bece3c70d35351d73dbbb,new_product,no_production_overlap,,,,new_product,approved,,approved,,medium,,rodnichok,showcase,,false,on_order,1
IRIB-RODNIKOVAYA-SVEZHEST-NEGAZIROVANNAYA-19000-PET,Родниковая свежесть,"Родниковая свежесть Негазированная, 19 л, ПЭТ",Родниковая свежесть,ООО «ИРИБ»,RODNIKOVAYA-SVEZHEST,Негазированная,NEGAZIROVANNAYA,19000,19 л,ПЭТ,PET,негазированная,Минеральная вода,voda-mineralnaya,58ba9d27-1100-49af-9644-9bbfe6ea00a2,mapped,https://irib.su/product/rodnikovaya-svezhest-2/,https://irib.su/wp-content/uploads/2021/05/19l-366.png,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-RODNIKOVAYA-SVEZHEST-NEGAZIROVANNAYA-19000-PET.webp,exact_low_res,stage1_featured_or_assigned,206,366,image/png,60e3ddcc2160109f6e76fbee586b92a21ea6cc76231c7326b7e45099701dd1b0,f6418342308b0811b43ac742a2a2c6679500ce11bd74e58b9ed47c3723699802,new_product,no_production_overlap,,,,new_product,approved,,approved,,medium,,rodnikovaya-svezhest-2,showcase,,false,on_order,1
