name,brand,alcohol_percent,url,reason
Советская история бойлерного вдохновения,Бавария,4.5,https://www.bavaria-group.ru/beer-product/bojlernoe-pivo,"Крепость 4.5% об. > 0,5"
Пиво Бавария «Австрийское» светлое фильтрованное,Бавария,4.5,https://www.bavaria-group.ru/beer-product/pivo-bavaria-avstrijskoe-svetloe-filtrovannoe,"Крепость 4.5% об. > 0,5"
Пиво Бавария «Бельгийское» светлое нефильтрованное,Бавария,5.4,https://www.bavaria-group.ru/beer-product/pivo-bavaria-belgijskoe-svetloe-filtrovannoe,"Крепость 5.4% об. > 0,5"
Пиво Бавария «Elf» светлое фильтрованное,Бавария,4,https://www.bavaria-group.ru/beer-product/pivo-bavaria-elf-svetloe-filtrovannoe,"Крепость 4% об. > 0,5"
"Пиво Бавария ""Пражское"" светлое фильтрованное",Бавария,4.5,https://www.bavaria-group.ru/beer-product/pivo-bavaria-prazskoe-svetloe-filtrovannoe,"Крепость 4.5% об. > 0,5"
Пиво Бавария «светлое» фильтрованное,Бавария,4.5,https://www.bavaria-group.ru/beer-product/pivo-bavaria-svetloe-filtrovannoe,"Крепость 4.5% об. > 0,5"
Пиво Бавария «светлое» нефильтрованное,Бавария,4.5,https://www.bavaria-group.ru/beer-product/pivo-bavaria-svetloe-nefiltrovannoe,"Крепость 4.5% об. > 0,5"
Пиво Бавария «темное» фильтрованное,Бавария,4.9,https://www.bavaria-group.ru/beer-product/pivo-bavaria-temnoe-filtrovannoe,"Крепость 4.9% об. > 0,5"
"Пиво Бавария ""Владикавказское"" светлое фильтрованное",Бавария,4,https://www.bavaria-group.ru/beer-product/pivo-bavaria-vladikavkazskoe-svetloe-filtrovannoe,"Крепость 4% об. > 0,5"
