proposed_sku,source_image_url,local_image_path,sha256,bytes,status,notes
BAVARIA-BAVARIYA-KOLA-PREMIUM-LIMITED-EDITIO-330-GLASS,https://www.bavaria-group.ru/files/beer_items/65_1718375901.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-kola-premium-limited-1-5-l-pet.jpg,a3815521072c4340b3a7d308bfa1c63d213c8c514786da39e0079a78e265b3c9,1464009,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-KOLA-PREMIUM-LIMITED-EDITION-330-PET,https://www.bavaria-group.ru/files/beer_items/65_1718375901.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-kola-premium-limited-1-5-l-pet.jpg,a3815521072c4340b3a7d308bfa1c63d213c8c514786da39e0079a78e265b3c9,1464009,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-KOLA-PREMIUM-SUGAR-FREE-BEZ-1500-PET,https://www.bavaria-group.ru/files/beer_items/125_1765464144.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-kola-premium-sugar-f-1-5-l-pet.jpg,3295ced878897c1c1c8dabf03b525be1babb27e979698ed396cab313e5e77662,465951,downloaded,
BAVARIA-BAVARIYA-KOLA-PREMIUM-SUGAR-FREE-BEZ-1000-PET,https://www.bavaria-group.ru/files/beer_items/125_1765464144.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-kola-premium-sugar-f-1-5-l-pet.jpg,3295ced878897c1c1c8dabf03b525be1babb27e979698ed396cab313e5e77662,465951,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-KOLA-PREMIUM-SUGAR-FREE-BEZ-S-500-PET,https://www.bavaria-group.ru/files/beer_items/125_1765464144.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-kola-premium-sugar-f-1-5-l-pet.jpg,3295ced878897c1c1c8dabf03b525be1babb27e979698ed396cab313e5e77662,465951,reused,Дубликат содержимого — переиспользован файл
BAVARIA-DOBRETSOV-KVAS-DOBRETSOV-2000-PET,https://www.bavaria-group.ru/files/beer_items/76_1783510510.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dobretsov-kvas-dobretsov-2-l-pet.jpg,bc3d4fd8542345a4a0a5318444aa86a2034c152c327e36c6fb4462a04028cf59,1805782,downloaded,
BAVARIA-DOBRETSOV-KVAS-DOBRETSOV-1400-PET,https://www.bavaria-group.ru/files/beer_items/76_1783510510.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dobretsov-kvas-dobretsov-2-l-pet.jpg,bc3d4fd8542345a4a0a5318444aa86a2034c152c327e36c6fb4462a04028cf59,1805782,reused,Дубликат содержимого — переиспользован файл
BAVARIA-DOBRETSOV-KVAS-DOBRETSOV-450-PET,https://www.bavaria-group.ru/files/beer_items/76_1783510510.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dobretsov-kvas-dobretsov-2-l-pet.jpg,bc3d4fd8542345a4a0a5318444aa86a2034c152c327e36c6fb4462a04028cf59,1805782,reused,Дубликат содержимого — переиспользован файл
BAVARIA-DOBRETSOV-KVAS-DOBRECOV-BOCKOVOJ-2000-PET,https://www.bavaria-group.ru/files/beer_items/139_1783501193.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-dobretsov-kvas-dobretsov-bochk-2-l-pet.png,d60f05f14390f4a23bab5d823ab56ad7fe202bbb74f8fa3f0aede0dfd62028f9,891647,downloaded,
BAVARIA-MOUNTEA-CHERNYY-CHAY-S-LIMONOM-I-GOR-1000-PET,https://www.bavaria-group.ru/files/beer_items/135_1783424099.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-mountea-chernyy-chay-s-limon-1-l-pet.jpg,22a189f1d5d2bc1ad5a843961f7941a35b4037a3d13999cf9a9f7ad2a6275295,470817,downloaded,
BAVARIA-MOUNTEA-ZELENYY-CHAY-S-MANGO-I-ROMAS-1000-PET,https://www.bavaria-group.ru/files/beer_items/135_1783424099.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-mountea-chernyy-chay-s-limon-1-l-pet.jpg,22a189f1d5d2bc1ad5a843961f7941a35b4037a3d13999cf9a9f7ad2a6275295,470817,reused,Дубликат содержимого — переиспользован файл
BAVARIA-MOUNTEA-CHERNYY-CHAY-S-LIMONOM-I-GORN-500-PET,https://www.bavaria-group.ru/files/beer_items/136_1783424134.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-mountea-chernyy-chay-s-limon-0-5-l-pet.jpg,cdd1fd9a615007f8eed45dd32755132de97188f35b1dc1a3a36c1128caf94213,427697,downloaded,
BAVARIA-MOUNTEA-ZELENYY-CHAY-S-MANGO-I-ROMASH-500-PET,https://www.bavaria-group.ru/files/beer_items/136_1783424134.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-mountea-chernyy-chay-s-limon-0-5-l-pet.jpg,cdd1fd9a615007f8eed45dd32755132de97188f35b1dc1a3a36c1128caf94213,427697,reused,Дубликат содержимого — переиспользован файл
BAVARIA-MOUNTEA-CHERNYY-CHAY-S-LIMONOM-I-GORN-330-PET,https://www.bavaria-group.ru/files/beer_items/137_1783424192.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-mountea-chernyy-chay-s-limon-0-33-l-pet.jpg,8eee068bbabf59ac5f399088d4318e8af4c4fb56bd538c402d460af6dbac6b85,422122,downloaded,
BAVARIA-MOUNTEA-ZELENYY-CHAY-S-MANGO-I-ROMASH-330-PET,https://www.bavaria-group.ru/files/beer_items/137_1783424192.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-mountea-chernyy-chay-s-limon-0-33-l-pet.jpg,8eee068bbabf59ac5f399088d4318e8af4c4fb56bd538c402d460af6dbac6b85,422122,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-MOHITO-KLUBNIKA-ZEMLYANIKA-GA-450-PET,https://www.bavaria-group.ru/files/beer_items/131_1780557583.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-mohito-klubnika-zeml-0-45-l-pet.png,64a74e9fa802c076f23d672261203b2e22ac77d412fb484f87366734baf9ad42,217922,downloaded,
BAVARIA-BAVARIYA-MOHITO-FRESH-LIME-MINT-SVEZHI-450-PET,https://www.bavaria-group.ru/files/beer_items/132_1780557699.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-mohito-fresh-lime-mi-0-45-l-pet.png,4ba7bddeb297f77c8630b9f221be535288c01902b9bf76973b945a5288a49554,213374,downloaded,
BAVARIA-BAVARIYA-NEW-ORANGE-500-PET,https://www.bavaria-group.ru/files/beer_items/110_1757078392.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-new-orange-0-5-l-pet.png,7e74251de4e47560fd654039c281154c0807a0ac8502e805b7b3ebc2b23abc1a,430553,downloaded,
BAVARIA-BAVARIYA-NEW-ORANGE-1000-PET,https://www.bavaria-group.ru/files/beer_items/110_1757078392.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-new-orange-0-5-l-pet.png,7e74251de4e47560fd654039c281154c0807a0ac8502e805b7b3ebc2b23abc1a,430553,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-NEW-ORANGE-1500-PET,https://www.bavaria-group.ru/files/beer_items/110_1757078392.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-new-orange-0-5-l-pet.png,7e74251de4e47560fd654039c281154c0807a0ac8502e805b7b3ebc2b23abc1a,430553,reused,Дубликат содержимого — переиспользован файл
