proposed_sku,source_image_url,local_image_path,sha256,bytes,status,notes
BAVARIA-BAVARIYA-SLADKIY-SILNOGAZIROVANNYY-N-450-GLASS,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-sladkiy-silnogazirov-0-45-l-steklo.jpg,39c203a89836298db7f97342b4010c6f240e060a92ad80e844d468ad68a0eb2d,377099,downloaded,
BAVARIA-BAVARIYA-SLADKIY-SILNOGAZIROVANNYY-NAP-500-PET,https://www.bavaria-group.ru/files/beer_items/25_1765459937.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-sladkiy-silnogazirov-0-45-l-steklo.jpg,39c203a89836298db7f97342b4010c6f240e060a92ad80e844d468ad68a0eb2d,377099,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,https://www.bavaria-group.ru/files/beer_items/52_1740991151.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-svetloe-0-45-l-steklo.jpg,298a71c4b91f8a8d3e468f6f71411fbd62fbf135b657649e30d2533a6aaba3b9,1514885,downloaded,
BAVARIA-BAVARIYA-SVETLOE-450-CAN,https://www.bavaria-group.ru/files/beer_items/52_1740991151.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-svetloe-0-45-l-steklo.jpg,298a71c4b91f8a8d3e468f6f71411fbd62fbf135b657649e30d2533a6aaba3b9,1514885,reused,Дубликат содержимого — переиспользован файл
BAVARIA-SWIPE-SILNOGAZIROVANNYY-NAPITOK-SW-1500-PET,https://www.bavaria-group.ru/files/beer_items/74_1718376186.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-swipe-silnogazirovannyy-na-1-5-l-pet.jpg,555a07a58c2092eb92822896fea9e753eb37ee6ab444ef7341715930800a25dd,1256290,downloaded,
BAVARIA-SWIPE-SILNOGAZIROVANNYY-NAPITOK-SWI-500-PET,https://www.bavaria-group.ru/files/beer_items/74_1718376186.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-swipe-silnogazirovannyy-na-1-5-l-pet.jpg,555a07a58c2092eb92822896fea9e753eb37ee6ab444ef7341715930800a25dd,1256290,reused,Дубликат содержимого — переиспользован файл
BAVARIA-SWIPE-SILNOGAZIROVANNYY-NAPITOK-33000-GLASS,https://www.bavaria-group.ru/files/beer_items/74_1718376186.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-swipe-silnogazirovannyy-na-1-5-l-pet.jpg,555a07a58c2092eb92822896fea9e753eb37ee6ab444ef7341715930800a25dd,1256290,reused,Дубликат содержимого — переиспользован файл
BAVARIA-KAZBEK-AQUA-ZAGOLOVOK-PRODUKTA-1500-PET,https://www.bavaria-group.ru/files/beer_items/3_1718376836.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-kazbek-aqua-mineralnaya-lechebno-1-5-l-pet.jpg,c6f405f00da6cb5c305f0318b594657359e4f829122942e8a8a642c96e06f74d,1378495,downloaded,
BAVARIA-KAZBEK-AQUA-ZAGOLOVOK-PRODUKTA-500-PET,https://www.bavaria-group.ru/files/beer_items/3_1718376836.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-kazbek-aqua-mineralnaya-lechebno-1-5-l-pet.jpg,c6f405f00da6cb5c305f0318b594657359e4f829122942e8a8a642c96e06f74d,1378495,reused,Дубликат содержимого — переиспользован файл
BAVARIA-KAZBEK-AQUA-ZAGOLOVOK-PRODUKTA-330-GLASS,https://www.bavaria-group.ru/files/beer_items/3_1718376836.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-kazbek-aqua-mineralnaya-lechebno-1-5-l-pet.jpg,c6f405f00da6cb5c305f0318b594657359e4f829122942e8a8a642c96e06f74d,1378495,reused,Дубликат содержимого — переиспользован файл
