url,title,product_links,variants,role,error
https://www.bavaria-group.ru/beer-category/bezalkogolnye-napitki-bavaria,Безалкогольные напитки,,,,
https://www.bavaria-group.ru/beer-category/gornaa-rodnikovaa-voda-tbau,Горная родниковая вода «ТБАУ»,,,,
https://www.bavaria-group.ru/beer-category/mineralnaa-voda-kazbek-akva,Минеральная лечебно-столовая вода «Казбек-Аква»,,,,
https://www.bavaria-group.ru/beer-category/pivo-i-sidr,Пиво и сидр,,,,
https://www.bavaria-group.ru/beer-category/stm-dla-partnerov,СТМ для партнеров,,,,
