proposed_sku,official_name,proposed_name,brand,manufacturer,line,flavor,flavor_key,volume_ml,volume_text,package_type,package_code,carbonation,category,category_slug,category_id,category_status,source_url,source_image_url,image_path,image_match_status,image_width,image_height,image_mime,source_image_sha256,processed_sha256,duplicate_status,confidence,review_status,review_reason,volume_confidence,notes,wp_slug,sales_status,price_amount,orderable,availability,units_per_package
IRIB-PROFI-SPORT-ENERGY-GUARANA-500-PET,PROFI SPORT ENERGY,"PROFI SPORT Energy Гуарана, 500 мл, ПЭТ",PROFI SPORT,ООО «ИРИБ»,PROFI-SPORT,Energy Гуарана,ENERGY-GUARANA,500,500 мл,ПЭТ,PET,негазированный,Энергетические напитки,energeticheskie-napitki,a3f3ce9e-00db-4cb4-961d-54e48343b03d,mapped,https://irib.su/product/energy/,https://irib.su/wp-content/uploads/2021/01/profi-enerdzhi-PhotoRoom-2.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-PROFI-SPORT-ENERGY-GUARANA-500-PET.webp,exact_low_res,94,366,image/png,f9e13c414b1c8610a514c98144927ac9ce11851e83389a5eda5ee528b4a00884,7c4152a45c7f1b5d41d0d308ec48714bd527bd3adcefc54844b603cce2236a04,new_product,medium,approved,,high,,energy,showcase,,false,on_order,1
IRIB-RODNICHOK-NEGAZIROVANNAYA-330-PET,Родничок,"Родничок Негазированная, 330 мл, ПЭТ",Родничок,ООО «ИРИБ»,RODNICHOK,Негазированная,NEGAZIROVANNAYA,330,330 мл,ПЭТ,PET,негазированная,Питьевая вода,voda-pitevaya,58b17c1b-ce93-47d6-9e9d-df407b076889,mapped,https://irib.su/product/rodnichok/,https://irib.su/wp-content/uploads/2020/04/image-31.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-RODNICHOK-NEGAZIROVANNAYA-330-PET.webp,exact_low_res,94,311,image/png,6d3de1750b21588f029743b4ec18528083421875b052585f81258a64679405ae,b9b80c6a3bcba96ac8ace09a2ddd88dacadf9b6583becb0ae547ba81804e0fcc,new_product,medium,approved,,high,,rodnichok,showcase,,false,on_order,1
IRIB-RODNIKOVAYA-SVEZHEST-NEGAZIROVANNAYA-19000-PET,Родниковая свежесть,"Родниковая свежесть Негазированная, 19 л, ПЭТ",Родниковая свежесть,ООО «ИРИБ»,RODNIKOVAYA-SVEZHEST,Негазированная,NEGAZIROVANNAYA,19000,19 л,ПЭТ,PET,негазированная,Минеральная вода,voda-mineralnaya,58ba9d27-1100-49af-9644-9bbfe6ea00a2,mapped,https://irib.su/product/rodnikovaya-svezhest-2/,https://irib.su/wp-content/uploads/2021/05/19l-366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-RODNIKOVAYA-SVEZHEST-NEGAZIROVANNAYA-19000-PET.webp,exact_low_res,206,366,image/png,60e3ddcc2160109f6e76fbee586b92a21ea6cc76231c7326b7e45099701dd1b0,e77134464d8085c7ec96634719e106f8df6fa2291c5964c827812140fd2d4697,new_product,medium,approved,,high,,rodnikovaya-svezhest-2,showcase,,false,on_order,1
IRIB-SELESTA-ANANAS-500-GLASS,«Ананас»,"Selesta Ананас, 500 мл, стекло",Selesta,ООО «ИРИБ»,SELESTA,Ананас,ANANAS,500,500 мл,стекло,GLASS,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/ananas/,https://irib.su/wp-content/uploads/2020/04/selesta-ananas366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-SELESTA-ANANAS-500-GLASS.webp,exact_low_res,111,366,image/png,0ace0a745c151ebf7913321a49b9936fc019cf7072a84bda7a911304f674f55f,06461e519a3473ee70869ad0b4dc6e4d2b2774b361508f36959882562a8e877b,new_product,medium,approved,,high,,ananas,showcase,,false,on_order,1
IRIB-SELESTA-GRANAT-500-GLASS,Гранат,"Selesta Гранат, 500 мл, стекло",Selesta,ООО «ИРИБ»,SELESTA,Гранат,GRANAT,500,500 мл,стекло,GLASS,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/granat/,https://irib.su/wp-content/uploads/2020/04/selesta-granat366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-SELESTA-GRANAT-500-GLASS.webp,exact_low_res,111,366,image/png,a60edf6d3e2054c115ecae394a559bc99c3389799ca816928b43fad2ff3ddce0,030fc1610bcb3695124ae4303a2773ee593e59197baab06039f4b2f7097bc5d4,new_product,medium,approved,,high,,granat,showcase,,false,on_order,1
IRIB-SELESTA-GRUSHA-500-GLASS,Груша,"Selesta Груша, 500 мл, стекло",Selesta,ООО «ИРИБ»,SELESTA,Груша,GRUSHA,500,500 мл,стекло,GLASS,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/grusha/,https://irib.su/wp-content/uploads/2020/04/selesta-grusha366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-SELESTA-GRUSHA-500-GLASS.webp,exact_low_res,111,366,image/png,2949bce6566021f2b1e327b0cc68572d1117eb0bbb5142f136eecd1471b52759,f1e52708c210b47582fa6163058b7036b75e33f8dfae8c551e7b8d0e4167d74d,new_product,medium,approved,,high,,grusha,showcase,,false,on_order,1
IRIB-SELESTA-MOHITO-500-GLASS,Мохито,"Selesta Мохито, 500 мл, стекло",Selesta,ООО «ИРИБ»,SELESTA,Мохито,MOHITO,500,500 мл,стекло,GLASS,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/mohito/,https://irib.su/wp-content/uploads/2020/04/selesta-mohito366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-SELESTA-MOHITO-500-GLASS.webp,exact_low_res,111,366,image/png,d66f3b14b7fd35d26021d91629fe1a455561621be8ee188f871d4da1fc5146ba,a58bb0643a3e26b4c110a8d6c568efb4ddcce01236d661255e61a102a68e618a,new_product,medium,approved,,high,,mohito,showcase,,false,on_order,1
IRIB-SELESTA-MULTIFRUKT-750-GLASS,Мультифрукт,"Selesta Мультифрукт, 750 мл, стекло",Selesta,ООО «ИРИБ»,SELESTA,Мультифрукт,MULTIFRUKT,750,750 мл,стекло,GLASS,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/multifrukt-2/,https://irib.su/wp-content/uploads/2020/04/selesta-multi366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-SELESTA-MULTIFRUKT-750-GLASS.webp,exact_low_res,111,366,image/png,bb048bfe3535349fa1b62f652a4d1cd6ac9ef6f9aa2eb902e6a3fae35de32083,fc305303bb6ea8b47f481bfa842bb0b4f49a9705560762377831fc7e0c75f23c,new_product,medium,approved,,high,,multifrukt-2,showcase,,false,on_order,1
IRIB-SELESTA-SHIPOVNIK-500-GLASS,Шиповник,"Selesta Шиповник, 500 мл, стекло",Selesta,ООО «ИРИБ»,SELESTA,Шиповник,SHIPOVNIK,500,500 мл,стекло,GLASS,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/shipovnik/,https://irib.su/wp-content/uploads/2020/04/selesta-ship366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-SELESTA-SHIPOVNIK-500-GLASS.webp,exact_low_res,111,366,image/png,a710cf604c6b17304dd0a6e77780c39b0726c7d2355b859ce41ddb2fc1515070,729ab3bfbbfb228c43f964f8c07f6c1500373b39ab5cc83714cc03b7488f4197,new_product,medium,approved,,high,,shipovnik,showcase,,false,on_order,1
IRIB-SOK-YABLOCHNYY-3000-PET,Яблочный сок 3л,"Сок Ириб Яблочный, 3 л, ПЭТ",Ириб,ООО «ИРИБ»,SOK,Яблочный,YABLOCHNYY,3000,3 л,ПЭТ,PET,,Сок,sok,32a861a6-7c39-4329-b17c-09d3a420f7c2,mapped,https://irib.su/product/yablochnyj-sok-3l/,https://irib.su/wp-content/uploads/2021/04/yabl-sok3l-366.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-SOK-YABLOCHNYY-3000-PET.webp,exact_low_res,218,366,image/png,c58cab6ebb80b18d075756b9f5e5bb096c5321c3143715b8009e538cfdfcf5a2,5bff693b17c9eb966101b3571ae2e5ed6f7fdcc0eb8bf841490dd256b0a53934,new_product,medium,approved,,high,,yablochnyj-sok-3l,showcase,,false,on_order,1
IRIB-TALIH-NEGAZIROVANNAYA-1500-PET,Талих,"Вода Талих, 1,5 л, ПЭТ",Талих,ООО «ИРИБ»,TALIH,Негазированная,NEGAZIROVANNAYA,1500,"1,5 л",ПЭТ,PET,негазированная,Негазированная вода,voda-negazirovannaya,977a592b-8d39-4bac-afe4-a7d17687657d,mapped,https://irib.su/product/rodnikovaya-svezhest/,https://irib.su/wp-content/uploads/2020/04/2-Talih-15-l.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-TALIH-NEGAZIROVANNAYA-1500-PET.webp,exact_low_res,116,367,image/png,b81a5a9d74e8e39c3f8684c3161457dd5523b092cfe9549c548510302b3f09c2,6c508f4dc2d87350b36e27d365ced43a4523e7ede06fc4c464b8fc363c5787a7,new_product,medium,approved,,high,,rodnikovaya-svezhest,showcase,,false,on_order,1
IRIB-TALIH-NEGAZIROVANNAYA-5000-PET,Талих,"Вода Талих, 5 л, ПЭТ",Талих,ООО «ИРИБ»,TALIH,Негазированная,NEGAZIROVANNAYA,5000,5 л,ПЭТ,PET,негазированная,Негазированная вода,voda-negazirovannaya,977a592b-8d39-4bac-afe4-a7d17687657d,mapped,https://irib.su/product/rodnikovaya-svezhest-6l/,https://irib.su/wp-content/uploads/2020/04/2-Talih-5-l.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-TALIH-NEGAZIROVANNAYA-5000-PET.webp,exact_low_res,185,388,image/png,03d73a5c43fc914b99e3eb98a6202c032b9156e0dcc59fef9b8f81ef1930d0b0,e522666581e3f02ef343fe1d569cc54a0f1c8db035dd90d9f2f15bc801862e80,new_product,medium,approved,,high,,rodnikovaya-svezhest-6l,showcase,,false,on_order,1
IRIB-TALIH-NEGAZIROVANNAYA-600-PET,Талих,"Вода Талих, 600 мл, ПЭТ",Талих,ООО «ИРИБ»,TALIH,Негазированная,NEGAZIROVANNAYA,600,600 мл,ПЭТ,PET,негазированная,Негазированная вода,voda-negazirovannaya,977a592b-8d39-4bac-afe4-a7d17687657d,mapped,https://irib.su/product/rodnikovaya-svezhest-0-5l-2/,https://irib.su/wp-content/uploads/2020/04/2-Talih-06-l.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-TALIH-NEGAZIROVANNAYA-600-PET.webp,exact_low_res,95,349,image/png,e076d53cecd57f2d9c416dcf3570ce3dd68d17d1ad661d9f1ea147a71c953a31,140263df14e1bf298212b40ee892d1d8b39beaf1dcd3a9e6c48b963d4e7d21e8,new_product,medium,approved,,high,,rodnikovaya-svezhest-0-5l-2,showcase,,false,on_order,1
IRIB-TALIH-SPORT-KLASSICHESKIY-600-PET,Талих спорт,"Талих Классический, 600 мл, ПЭТ",Талих,ООО «ИРИБ»,TALIH-SPORT,Классический,KLASSICHESKIY,600,600 мл,ПЭТ,PET,,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://irib.su/product/rodnikovaya-sport-0-6l/,https://irib.su/wp-content/uploads/2020/04/1-Talih-sport-06-l.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-TALIH-SPORT-KLASSICHESKIY-600-PET.webp,exact_low_res,93,379,image/png,aebad13caa0601e46f15aaed5ffaca91bfb101e63e5e96c89edeeab85858a398,0e6a842d6bbf94cc19218fec055f505ca345c0ca98f3c4e0c2b70873a5d5d613,new_product,medium,approved,,high,,rodnikovaya-sport-0-6l,showcase,,false,on_order,1
IRIB-TALIH-SPORT-KLUBNIKA-600-PET,Талих Спорт «Клубника»,"Талих Клубника, 600 мл, ПЭТ",Талих,ООО «ИРИБ»,TALIH-SPORT,Клубника,KLUBNIKA,600,600 мл,ПЭТ,PET,,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://irib.su/product/rodnikovaya-sport-klubnika-0-6l/,https://irib.su/wp-content/uploads/2020/04/Talih-sport-klubnika-06.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-TALIH-SPORT-KLUBNIKA-600-PET.webp,exact_low_res,91,361,image/png,94341d218cf34b2f6eb4a51e57134c547bc7eda49c1746fb550a5268d2b7f9d8,52b90195bc6cdcb9e99e525e8dfe4e645fa15cc9073c990036526c0efe7d0437,new_product,medium,approved,,high,,rodnikovaya-sport-klubnika-0-6l,showcase,,false,on_order,1
IRIB-TALIH-SPORT-LIMON-600-PET,Талих Спорт «Лимон»,"Талих Лимон, 600 мл, ПЭТ",Талих,ООО «ИРИБ»,TALIH-SPORT,Лимон,LIMON,600,600 мл,ПЭТ,PET,,Газированные напитки,gazirovannye-napitki,a98cf12f-e064-4b67-93ef-0a9fdb47bb71,mapped,https://irib.su/product/rodnikovaya-sport-limon-0-6l/,https://irib.su/wp-content/uploads/2020/04/1-Talih-sport-limon-06.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-TALIH-SPORT-LIMON-600-PET.webp,exact_low_res,91,369,image/png,056848fafd173af38262fa369d3248310a001f4613728d5096268f53a06f03ac,e9d20143992f7b4dff02048408d92cc05d2ef9761790a8b93ca32cf5e5ad03f4,new_product,medium,approved,,high,,rodnikovaya-sport-limon-0-6l,showcase,,false,on_order,1
