proposed_sku,official_name,proposed_name,brand,manufacturer,category,category_reason,volume,package,taste,carbonation,sugar,alcohol_percent,source_url,image_url,local_image_path,duplicate_status,confidence,notes,decision_reason,evidence_summary,image_match,pdf_page,source_site,source_pdf
BAVARIA-DOBRETSOV-KEG-30000-KEG,"Квас Добрецовъ, кег 30 л","Квас Добрецовъ, кег 30 л",Добрецовъ,ГК ПД «Бавария»,Квас,Кеги только wholesale-review,30 л,кег,Кег,,,,https://www.bavaria-group.ru,,,new,high,,Кеги только wholesale-review,pdf p.13 PET KEG 30 / KEG 50,shared-line-image,13,,
BAVARIA-DOBRETSOV-KEG-50000-KEG,"Квас Добрецовъ, кег 50 л","Квас Добрецовъ, кег 50 л",Добрецовъ,ГК ПД «Бавария»,Квас,Кеги только wholesale-review,50 л,кег,Кег,,,,https://www.bavaria-group.ru,,,new,high,,Кеги только wholesale-review,pdf p.13 PET KEG 30 / KEG 50,shared-line-image,13,,
